"","pol_knowledge","likelihood_vote","know1","know2","know3","know4","know5","know6","know7","know8","know9","know10","general_internet","election_internet","internet_skills","int_attch","int_post","int_blog","int_down","election_newspaper","election_tv","election_radio","female","highest_qual","tertiary_ed","country_birth","aust_born","age","income","rural_urban","interest_pol","age_cat","age_18_24","weight","know1_correct","know2_correct","know3_correct","know4_correct","know5_correct","know6_correct","know7_correct","know8_correct","know9_correct","know10_correct","income_quintiles"
"709",2,5,1,3,3,3,3,3,5,2,5,5,1,5,2,1,NA,NA,1,3,2,3,0,3,1,1,1,39,13,2,3,3,0,1.63932992551266,1,0,0,0,0,0,0,1,0,0,4
"710",7,5,1,1,1,1,1,2,3,2,3,5,7,3,0,NA,NA,NA,NA,2,2,NA,1,1,0,1,1,72,9,4,2,6,0,0.705039816996184,1,1,0,1,0,1,1,1,1,0,2
"711",4,5,1,2,1,2,2,1,4,2,2,3,7,4,0,NA,NA,NA,NA,2,2,2,1,1,0,NA,NA,81,17,1,2,6,0,0.705039816996184,1,0,0,0,1,0,0,1,0,1,4
"712",1,5,3,3,2,2,3,3,5,5,5,5,2,5,1,NA,NA,NA,1,1,2,4,0,1,0,1,1,60,6,1,1,5,0,0.765687974011235,0,0,1,0,0,0,0,0,0,0,2
"713",6,2,1,1,1,1,3,2,3,3,1,3,2,3,4,1,1,1,1,3,3,3,1,7,0,1,1,19,1,3,3,1,1,1.74255671792639,1,1,0,1,0,1,1,0,0,1,1
"714",2,4,1,3,1,2,1,1,2,2,5,5,7,2,0,NA,NA,NA,NA,4,2,4,1,1,0,1,1,69,2,1,2,6,0,0.868161440046779,1,0,0,0,0,0,0,1,0,0,1
"715",1,5,1,3,1,3,1,3,5,5,5,1,1,5,3,1,1,NA,1,4,4,4,1,7,0,6,0,36,4,1,3,3,0,1.5544646196472,1,0,0,0,0,0,0,0,0,0,1
"716",7,5,1,3,2,2,1,2,3,2,3,3,7,3,0,NA,NA,NA,NA,1,1,NA,1,7,0,12,0,52,3,1,1,4,0,0.931102935157328,1,0,1,0,0,1,1,1,1,1,1
"717",8,5,1,1,2,2,1,2,3,2,3,3,1,3,1,1,NA,NA,NA,3,1,NA,1,7,0,3,0,67,7,1,1,6,0,0.705039816996184,1,1,1,0,0,1,1,1,1,1,2
"718",8,5,1,2,2,1,2,2,3,1,3,3,1,3,3,1,1,NA,1,1,1,1,0,3,1,1,1,64,15,3,1,5,0,0.655020413253552,1,0,1,1,1,1,1,0,1,1,4
